repo,author,sha,additions,deletions,delta_nloc,before_ccn_sum,after_ccn_sum,delta_ccn_sum,before_ccn_mean,after_ccn_mean,delta_ccn_mean,linhas_por_abs_delta_ccn
OpenTermsArchive/GenAI-snapshots,OTA-Bot,594590ec2ef138f511beb0b777164ec16117ffba,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,e2f5d5eef6abc9cf41052728c52ab0f20ae5970b,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,247831b90357e037701c74bf76640d17a8868050,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
OpenTermsArchive/GenAI-versions,OTA-Bot,74a2f9b2bb74e1b3acc06b2d5fe8d2358f203053,3,3,0,0,0,0,0.0,0.0,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,93cd70e44086a665159fa396d6d97a29a7584030,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
OpenTermsArchive/GenAI-versions,OTA-Bot,bb281a8939a16d1da3767b6e510e050517c51aee,89,92,-3,0,0,0,0.0,0.0,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,b2fc82a8760e39a1c9c3ef955465686697e76ac5,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
OpenTermsArchive/GenAI-versions,OTA-Bot,67e01af509f492178b1c1f7c1d6b8fb870fdddbd,15,15,0,0,0,0,0.0,0.0,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,59c42b799c3d75155a9b87ad70d052a8ba5cbedc,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,a98115fcc9b31fafefeb6a408a319f707307e5c5,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
OpenTermsArchive/GenAI-versions,OTA-Bot,9256953def6e44afc9f7bc8940e9ab1477bdc0f2,23,24,-1,0,0,0,0.0,0.0,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,958bc3c307bf0c8603bddca83311bd127be8078d,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,06ef3452bb5a32f15003086597616fdc42b40cb2,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,872ddd49a6f933a174cdc2940ab5fc8483c1c2c9,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
adamlui/chatgpt-widescreen,kudo-sync-bot,f53b9c84769d339f6ccb360687ba989df5b7ef60,18,69,-51,852,852,0,2.196,2.196,0.0,0.0
